time,force_oscillations,segment
0.0,0.0,revving up
0.01,0.0028842289816436934,revving up
0.02,0.01135242420637207,revving up
0.03,0.02472043116828366,revving up
0.04,0.04176770802441112,revving up
0.05,0.060782175361062875,revving up
0.06,0.07965123241385147,revving up
0.07,0.09599913472145422,revving up
0.08,0.10736705842752531,revving up
0.09,0.11142776776845167,revving up
0.1,0.10622213187050196,revving up
0.11,0.09040018539071368,revving up
0.12,0.06344546989103263,revving up
0.13,0.025858576329386408,revving up
0.14,-0.020725285335661748,revving up
0.15,-0.0735086759778817,revving up
0.16,-0.12861432628404812,revving up
0.17,-0.18129061641574185,revving up
0.18,-0.22624316165111089,revving up
0.19,-0.2580827396957503,revving up
0.2,-0.27186500833327937,revving up
0.21,-0.26368188297783546,revving up
0.22,-0.23124972654342849,revving up
0.23,-0.1744276761102701,revving up
0.24,-0.09559273941823898,revving up
0.25,0.0002010300646535082,revving up
0.26,0.10534202883049718,revving up
0.27,0.21010161771475944,revving up
0.28,0.30340705121402034,revving up
0.29,0.37391809232161544,revving up
0.3,0.4113323897285846,revving up
0.31,0.4077973471362434,revving up
0.32,0.35926425322653044,revving up
0.33,0.2665915157443817,revving up
0.34,0.13619583987564618,revving up
0.35000000000000003,-0.019929985700761446,revving up
0.36,-0.1849619241171925,revving up
0.37,-0.33879651234594543,revving up
0.38,-0.46034128546802755,revving up
0.39,-0.5303458417209662,revving up
0.4,-0.5344464214130394,revving up
0.41000000000000003,-0.4659903568477772,revving up
0.42,-0.3281475746725502,revving up
0.43,-0.13482774032064687,revving up
0.44,0.08997952307916608,revving up
0.45,0.314632515074857,revving up
0.46,0.5039520232605615,revving up
0.47000000000000003,0.6246180991942595,revving up
0.48,0.6511208538278974,revving up
0.49,0.5712770913355286,revving up
0.5,0.3901979912188943,revving up
0.51,0.13166111273536762,revving up
0.52,-0.1638606532760029,revving up
0.53,-0.4447340205891995,revving up
0.54,-0.6567877628170482,revving up
0.55,-0.7537903053192099,revving up
0.56,-0.7078926300858788,revving up
0.5700000000000001,-0.5177661581203526,revving up
0.58,-0.21222292518950728,revving up
0.59,0.15230098466554007,revving up
0.6,0.5008984315607871,revving up
0.61,0.7549838882720012,revving up
0.62,0.8501444478933275,revving up
0.63,0.753187542085633,revving up
0.64,0.4739652912046207,revving up
0.65,0.06805016135507863,revving up
0.66,-0.3719920943093923,revving up
0.67,-0.7363214430076757,revving up
0.68,-0.9249907574935627,revving up
0.6900000000000001,-0.8762237258327839,revving up
0.7000000000000001,-0.5879322454961028,revving up
0.71,-0.1251018744243153,revving up
0.72,0.39145962826923747,revving up
0.73,0.8146282458029646,revving up
0.74,1.0125378453458427,revving up
0.75,0.9110188340099727,revving up
0.76,0.5233445690638463,revving up
0.77,-0.044525926261398174,revving up
0.78,-0.6188327966407873,revving up
0.79,-1.0092035050687478,revving up
0.8,-1.0723035364766016,revving up
0.81,-0.7671167437060891,revving up
0.8200000000000001,-0.1803953246791233,revving up
0.8300000000000001,0.49175422204648805,revving up
0.84,1.0058080981457447,revving up
0.85,1.158830945843136,revving up
0.86,0.871636627521311,revving up
0.87,0.2328121877170387,revving up
0.88,-0.5203179520875054,revving up
0.89,-1.0850656053349146,revving up
0.9,-1.214765851873104,revving up
0.91,-0.8306414605012513,revving up
0.92,-0.07290164081673368,revving up
0.93,0.7408725797230306,revving up
0.9400000000000001,1.243979240278635,revving up
0.9500000000000001,1.187126033700313,revving up
0.96,0.5683606678779285,revving up
0.97,-0.34256876090369914,revving up
0.98,-1.1123027112301551,revving up
0.99,-1.3475067042044666,revving up
1.0,-0.9011735643891371,revving up
1.01,0.027493391166618326,revving up
1.02,0.9680461934174803,revving up
1.03,1.4108562300768999,revving up
1.04,1.0870198852939517,revving up
1.05,0.14235727646439972,revving up
1.06,-0.9098971239993093,revving up
1.07,-1.4586932745037735,revving up
1.08,-1.1530272705327833,revving up
1.09,-0.13908222171905177,revving up
1.1,0.9876781048888601,revving up
1.11,1.5213601088229978,revving up
1.12,1.092014277007908,revving up
1.1300000000000001,-0.06255566415282743,revving up
1.1400000000000001,-1.2047942466430053,revving up
1.1500000000000001,-1.5584704046311242,revving up
1.16,-0.844373163658252,revving up
1.17,0.481272314097026,revving up
1.18,1.4947030163804085,revving up
1.19,1.443036635805357,revving up
1.2,0.31929306657574075,revving up
1.21,-1.0723315672629468,revving up
1.22,-1.6724540557075311,revving up
1.23,-0.9783349099172369,revving up
1.24,0.5105250642625909,revving up
1.25,1.6200352202630175,revving up
1.26,1.4200172598035485,revving up
1.27,0.02543186193805403,revving up
1.28,-1.42185913140496,revving up
1.29,-1.6683159571739914,revving up
1.3,-0.44921929401429495,revving up
1.31,1.1989824233797266,revving up
1.32,1.7894861984454158,revving up
1.33,0.7340172260935427,revving up
1.34,-1.0351859821418745,revving up
1.35,-1.8497798878353202,revving up
1.36,-0.8805557755797813,revving up
1.37,0.9795534240924877,revving up
1.3800000000000001,1.892466794318258,revving up
1.3900000000000001,0.8904400970650098,revving up
1.4000000000000001,-1.0556084575541103,revving up
1.41,-1.9267455258690924,revving up
1.42,-0.7509950590608128,revving up
1.43,1.2644297021168158,revving up
1.44,1.9209577260069173,revving up
1.45,0.4340919857721619,revving up
1.46,-1.5751745458723931,revving up
1.47,-1.7988421936971422,revving up
1.48,0.0867037120208981,revving up
1.49,1.9029094512466675,revving up
1.5,1.4477761542930334,revving up
1.51,-0.7945169016425657,revving up
1.52,-2.0851413994996095,revving up
1.53,-0.7589679993423121,revving up
1.54,1.5647027842385033,revving up
1.55,1.8886784287482326,revving up
1.56,-0.2790119140896525,revving up
1.57,-2.1083965676757326,revving up
1.58,-1.0991734865533236,revving up
1.59,1.4432536542119208,revving up
1.6,2.006449336373044,revving up
1.61,-0.26925029828435393,revving up
1.62,-2.1930528983429687,revving up
1.6300000000000001,-0.9463570681333868,revving up
1.6400000000000001,1.7194877323345505,revving up
1.6500000000000001,1.8466997484049548,revving up
1.6600000000000001,-0.8316900613779261,revving up
1.67,-2.267979650435126,revving up
1.68,-0.18332516056375384,revving up
1.69,2.221397203214884,revving up
1.7,1.0979376178543778,revving up
1.71,-1.8251734317799422,revving up
1.72,-1.7842105160546387,revving up
1.73,1.232586247179233,revving up
1.74,2.207927157570394,revving up
1.75,-0.5812052482000593,revving up
1.76,-2.399756464386672,revving up
1.77,-0.031088356156583164,revving up
1.78,2.4228881335993435,revving up
1.79,0.5490878695225242,revving up
1.8,-2.3477896049272866,revving up
1.81,-0.9514335358470641,revving up
1.82,2.237098396795076,revving up
1.83,1.2377611912576842,revving up
1.84,-2.1391200432021313,revving up
1.85,-1.4166074397587873,revving up
1.86,2.086695090668652,revving up
1.87,1.496157927335176,revving up
1.8800000000000001,-2.0982424361991914,revving up
1.8900000000000001,-1.4782880339383955,revving up
1.9000000000000001,2.1785812083739913,revving up
1.9100000000000001,1.355775060563738,revving up
1.92,-2.3181088671221963,revving up
1.93,-1.112762660858569,revving up
1.94,2.4899284053469883,revving up
1.95,0.7291462218231031,revving up
1.96,-2.64571916788084,revving up
1.97,-0.19006120174682617,revving up
1.98,2.7127629885257147,revving up
1.99,-0.49853557767778967,revving up
2.0,-2.5965929982059675,revving up
2.0100000000000002,1.2889556738498165,revving up
2.02,2.1956261378014803,revving up
2.0300000000000002,-2.070491836242342,revving up
2.04,-1.4341700730330262,revving up
2.05,2.659442547750917,revving up
2.06,0.31539645980584097,revving up
2.07,-2.81927449622149,revving up
2.08,1.0169727971367455,revving up
2.09,2.3311220317744468,revving up
2.1,-2.2405958188886967,revving up
2.11,-1.1201516292309717,revving up
2.12,2.8930982234397087,revving up
2.13,-0.5966136637935399,revving up
2.14,-2.538370832002817,revving up
2.15,2.235124824144832,revving up
2.16,1.0557871493167608,revving up
2.17,-2.9768489437658507,revving up
2.18,1.0751304661275287,revving up
2.19,2.1913782189525435,revving up
2.2,-2.7572880759482157,revving up
2.21,-0.020784197346869232,revving up
2.22,2.7829748730759585,revving up
2.23,-2.3115581643248686,revving up
2.24,-0.7975828677143334,revving up
2.25,3.0235961681640764,revving up
2.2600000000000002,-1.9515031510092624,revving up
2.27,-1.2072644173316929,revving up
2.2800000000000002,3.109824734756937,revving up
2.29,-1.840846981404674,revving up
2.3000000000000003,-1.2642395409586287,revving up
2.31,3.1406079957661506,revving up
2.32,-2.0346505340822705,revving up
2.33,-0.9559985822814753,revving up
2.34,3.081942795459422,revving up
2.35,-2.4941049731354132,revving up
2.36,-0.23058326165670456,revving up
2.37,2.758844987265565,revving up
2.38,-3.0435020689085954,revving up
2.39,0.9261188948932484,revving up
2.4,1.8957594376685911,revving up
2.41,-3.2977071301421734,revving up
2.42,2.3121634445616794,revving up
2.43,0.28981718545565666,revving up
2.44,-2.6838949119293605,revving up
2.45,3.3014492947603937,revving up
2.46,-1.8143237339853078,revving up
2.47,-0.7812889870493152,revving up
2.48,2.8963786773570974,revving up
2.49,-3.3341925929297718,revving up
2.5,1.9217525865151999,revving up
2.5100000000000002,0.5060687659731026,revving up
2.52,-2.653868455113328,revving up
2.5300000000000002,3.4702157811066807,revving up
