time,force_mission_profile,segment
0.0,0.0,revving up
1.0,13.718355825763062,revving up
2.0,27.436711651526124,revving up
3.0,41.15506747728918,revving up
4.0,54.87342330305225,revving up
5.0,68.5917791288153,Takeoff
6.0,68.91415278711546,Takeoff
7.0,69.23752070462474,Takeoff
8.0,69.56443954788091,Takeoff
9.0,69.89917042778025,Takeoff
10.0,70.24767889957754,Takeoff
11.0,70.61763496288606,Takeoff
12.0,71.0184130616776,Takeoff
13.0,71.46109208428247,Takeoff
14.0,71.95845536338949,Takeoff
15.0,72.52499067604599,Takeoff
16.0,73.17689024365777,Takeoff
17.0,73.9320507319892,Takeoff
18.0,74.8100732511631,Takeoff
19.0,75.83226335566084,Takeoff
20.0,77.02163104432174,Climb1
21.0,76.82577059590923,Climb1
22.0,76.4649076247959,Climb1
23.0,75.88166201442671,Climb1
24.0,75.03836910002798,Climb1
25.0,73.91707966860736,Climb1
26.0,72.51955995895392,Climb1
27.0,70.86729166163803,Climb1
28.0,69.00147191901142,Climb1
29.0,66.98301332520722,Climb1
30.0,64.89254392614637,Climb2
31.0,64.66721566559055,Climb2
32.0,64.6903072381539,Climb2
33.0,64.90828601081134,Climb2
34.0,65.2741212897715,Climb2
35.0,65.7472843204769,Climb2
36.0,66.29374828760383,Climb2
37.0,66.88598831506248,Climb2
38.0,67.5029814659968,Climb2
39.0,68.13020674278458,Climb2
40.0,68.75964508703747,cruise1
41.0,68.75300445715226,cruise1
42.0,68.74649988443933,cruise1
43.0,68.74011398415804,cruise1
44.0,68.73383011134398,cruise1
45.0,68.72763236080885,cruise1
46.0,68.72150556714067,cruise1
47.0,68.71543530470356,cruise1
48.0,68.70940788763788,cruise1
49.0,68.70341036986015,cruise1
50.0,68.69743054506316,cruise1
51.0,68.69145694671582,cruise1
52.0,68.68547884806327,cruise1
53.0,68.67948626212687,cruise1
54.0,68.67346994170414,cruise1
55.0,68.6674213793688,cruise1
56.0,68.66133280747079,cruise1
57.0,68.65519719813624,cruise1
58.0,68.64900826326748,cruise1
59.0,68.642760454543,cruise1
60.0,68.63644896341754,cruise1
61.0,68.63006972112203,cruise1
62.0,68.62361939866354,cruise1
63.0,68.61709540682541,cruise1
64.0,68.61049589616715,cruise1
65.0,68.60381975702467,cruise2
66.0,68.59706661950962,cruise2
67.0,68.59023685351013,cruise2
68.0,68.58333156869051,cruise2
69.0,68.57635261449126,cruise2
70.0,68.56930258012908,cruise2
71.0,68.56218479459677,cruise2
72.0,68.55500332666352,cruise2
73.0,68.54776298487458,cruise2
74.0,68.54046931755141,cruise2
75.0,68.5331286127917,cruise2
76.0,68.52574789846932,cruise2
77.0,68.51833494223435,cruise2
78.0,68.51089825151304,cruise2
79.0,68.50344707350786,cruise2
80.0,68.49599139519749,cruise2
81.0,68.48854194333681,cruise2
82.0,68.48111018445682,cruise2
83.0,68.4737083248648,cruise2
84.0,68.46634931064422,cruise2
85.0,68.4590468276547,cruise2
86.0,68.45181530153211,cruise2
87.0,68.44466989768848,cruise2
88.0,68.43762652131207,cruise2
89.0,68.4307018173673,cruise2
90.0,68.4239131705948,decent1
91.0,67.79377887803209,decent1
92.0,67.15796381707952,decent1
93.0,66.50498122842409,decent1
94.0,65.81684241351893,decent1
95.0,65.06905673458334,decent1
96.0,64.23063161460284,decent1
97.0,63.264072537329184,decent1
98.0,62.1253830472802,decent1
99.0,60.764064749740044,decent1
100.0,59.12311731075777,decent2
101.0,59.13285221931919,decent2
102.0,59.23726976178972,decent2
103.0,59.52674915908387,decent2
104.0,60.069207761202506,decent2
105.0,60.91010104723277,decent2
106.0,62.07242262534816,decent2
107.0,63.55670423280845,decent2
108.0,65.34101573595974,decent2
109.0,67.38096513023449,decent2
110.0,69.60969854015109,land
111.0,70.2781345224672,land
112.0,70.75036903448017,land
113.0,71.05340686649517,land
114.0,71.21225245397983,land
115.0,71.24990987756442,land
116.0,71.1873828630418,land
117.0,71.04367478136743,land
118.0,70.83578864865935,land
119.0,70.57872712619812,land
120.0,70.28549252042698,land
121.0,69.9670867829517,land
122.0,69.63251151054064,land
123.0,69.28876794512477,land
124.0,68.94085697379762,land
125.0,68.5917791288153,winding down
126.0,54.87342330305224,winding down
127.0,41.15506747728918,winding down
128.0,27.436711651526124,winding down
129.0,13.718355825763055,winding down
130.0,0.0,winding down
